games,states,queries,updates,metrics(loss),metrics(policy_accuracy),metrics(policy_loss),metrics(value_loss),param_updates,evaluation_games,wins_as_player_1,wins_as_player_2,collisions,elo,game_length,opening_value,selfplay_wins_for_player_1,selfplay_wins_for_player_2,selfplay_draws,1-ply openings,1-ply openings (sym),3-ply openings,3-ply openings (sym),5-ply openings,5-ply openings (sym),7-ply openings,7-ply openings (sym),1-ply sym ratio,3-ply sym ratio,5-ply sym ratio,7-ply sym ratio,unique_plies,translation_invariant_plies,unique_trajectories,move_31,move_39,move_41,move_49,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,ring_0,ring_1,ring_2,ring_3,ring_4,opening_ring_0,opening_ring_1,opening_ring_2,opening_ring_3,opening_ring_4,entropy_at_10,entropy_at_20,entropy_at_30
110000,4057451,32459608,11000,,,,,0.004589779302477837,1000.0,377.0,334.0,0.0,1436.3827009775096,29.3598,-0.0230069,5341.0,4654.0,5.0,80.0,15.0,2077.0,1840.0,3856.0,3840.0,5281.0,5281.0,0.1875,0.8858931150698123,0.995850622406639,1.0,85415.0,79817.0,9845.0,180.0,271.0,838.0,188.0,222.0,455.0,478.0,421.0,125.0,189.0,617.0,1055.0,349.0,369.0,1080.0,617.0,2204.0,1477.0,342.0,1015.96875,3770.125,5861.8125,8450.875,9208.0,53.15625,92.08333333333333,129.125,460.125,342.0,2.969951629638672,3.3304684162139893,3.5119099617004395
120000,4351049,34808392,12000,,,,,0.0044028619304299355,1000.0,427.0,391.0,0.0,1584.0311795575885,28.2875,-0.054529560000000005,5380.0,4619.0,1.0,80.0,15.0,1481.0,1251.0,2929.0,2916.0,4112.0,4111.0,0.1875,0.8446995273463875,0.99556162512803,0.9997568093385214,64574.0,60608.0,9732.0,241.0,307.0,1299.0,215.0,217.0,409.0,407.0,376.0,259.0,262.0,773.0,1428.0,304.0,456.0,1142.0,612.0,930.0,2062.0,363.0,710.78125,3644.125,5829.0,8759.0,9335.0,52.125,115.29166666666667,138.125,374.0,363.0,2.3482158184051514,2.8510944843292236,3.2694215774536133
130000,4633924,37071392,13000,,,,,0.004242927301675081,1000.0,363.0,339.0,1.0,1545.91099419832,28.579,0.03256122,5453.0,4542.0,5.0,80.0,15.0,1998.0,1627.0,4282.0,4234.0,5844.0,5836.0,0.1875,0.8143143143143143,0.9887902849135918,0.998631074606434,74197.0,69255.0,9839.0,253.0,319.0,1493.0,235.0,162.0,342.0,303.0,323.0,191.0,289.0,672.0,1152.0,294.0,358.0,1008.0,676.0,1531.0,2300.0,399.0,871.5625,3656.5416666666665,5743.1875,8582.25,9594.0,41.28125,100.29166666666667,127.625,478.875,399.0,2.386664390563965,3.0708537101745605,3.3978524208068848
140000,4919714,39357712,14000,,,,,0.004454216919839382,1000.0,387.0,378.0,4.0,1633.4297951173457,28.4151,0.04870986,5308.0,4689.0,3.0,80.0,15.0,1566.0,1284.0,2915.0,2873.0,4169.0,4166.0,0.1875,0.8199233716475096,0.9855917667238422,0.9992804029743344,68107.0,63555.0,9749.0,222.0,326.0,2241.0,231.0,106.0,257.0,176.0,198.0,113.0,184.0,723.0,997.0,192.0,282.0,761.0,594.0,1962.0,3020.0,435.0,730.90625,3545.875,5937.5,8859.375,9786.0,26.5625,87.33333333333333,102.3125,622.75,435.0,2.2636501789093018,2.886338949203491,3.30236554145813
150000,5203865,41630920,15000,,,,,0.004335565958172083,1000.0,380.0,363.0,3.0,1720.4336593775386,28.4581,0.05474753000000001,5397.0,4601.0,2.0,80.0,15.0,1119.0,925.0,2302.0,2256.0,3411.0,3408.0,0.1875,0.8266309204647007,0.9800173761946134,0.9991204925241864,70994.0,66134.0,9708.0,148.0,356.0,2518.0,204.0,88.0,217.0,237.0,195.0,122.0,175.0,448.0,920.0,169.0,227.0,870.0,546.0,2135.0,3226.0,425.0,754.25,3495.6666666666665,5986.125,8877.5,9751.0,26.84375,71.33333333333333,102.6875,670.125,425.0,2.3453927040100098,2.9961135387420654,3.3332743644714355
160000,5488446,43907568,16000,,,,,0.004183463752269745,1000.0,386.0,318.0,4.0,1742.5813136289767,28.3832,0.04853922,5521.0,4472.0,7.0,81.0,15.0,1792.0,1475.0,3468.0,3423.0,4643.0,4639.0,0.18518518518518517,0.8231026785714286,0.9870242214532872,0.9991384880465216,71081.0,66115.0,9846.0,166.0,293.0,1837.0,247.0,82.0,196.0,177.0,255.0,125.0,149.0,578.0,1270.0,209.0,288.0,1092.0,642.0,1959.0,2543.0,435.0,724.3125,3532.25,6035.875,8726.25,9496.0,26.09375,91.91666666666667,126.375,562.75,435.0,2.328280448913574,2.895174264907837,3.341482162475586
170000,5772278,46178224,17000,,,,,0.0041391076520085335,1000.0,349.0,345.0,1.0,1819.9301764647203,27.9134,0.03213573,5408.0,4588.0,4.0,81.0,15.0,2236.0,1860.0,3843.0,3789.0,5080.0,5073.0,0.18518518518518517,0.8318425760286225,0.9859484777517564,0.9986220472440945,67699.0,62583.0,9723.0,160.0,313.0,1927.0,264.0,68.0,170.0,250.0,242.0,162.0,142.0,531.0,992.0,251.0,339.0,1217.0,563.0,1856.0,2664.0,553.0,676.53125,3420.2916666666665,5955.8125,8812.875,9602.0,27.875,79.83333333333333,132.4375,565.0,553.0,2.0294573307037354,2.647361993789673,3.2169177532196045
180000,6051412,48411296,18000,,,,,0.0040075029246509075,1000.0,354.0,276.0,2.0,1705.5111705149682,27.9813,0.06246563,5610.0,4383.0,7.0,80.0,15.0,1953.0,1601.0,3687.0,3637.0,4861.0,4857.0,0.1875,0.8197644649257553,0.9864388391646325,0.9991771240485496,79454.0,73456.0,9725.0,170.0,354.0,1956.0,221.0,80.0,167.0,194.0,204.0,119.0,188.0,428.0,1158.0,210.0,193.0,948.0,461.0,2366.0,2701.0,583.0,836.6875,3426.9583333333335,5831.875,8509.25,9408.0,23.875,82.66666666666667,100.125,633.375,583.0,2.409634828567505,3.020308494567871,3.458557605743408
190000,6331225,50649800,19000,,,,,0.0038495699409395456,1000.0,362.0,331.0,1.0,1738.3028706891223,28.6958,0.04967999,5342.0,4646.0,12.0,81.0,15.0,1683.0,1409.0,3101.0,3075.0,4225.0,4221.0,0.18518518518518517,0.8371954842543078,0.9916156078684295,0.9990532544378699,76125.0,70435.0,9729.0,182.0,266.0,1982.0,239.0,80.0,168.0,271.0,160.0,90.0,151.0,440.0,903.0,197.0,298.0,947.0,647.0,2412.0,2669.0,567.0,810.71875,3509.7916666666665,6046.25,8807.125,9583.0,24.03125,70.45833333333333,118.25,635.125,567.0,2.162484884262085,2.8240110874176025,3.305626392364502
200000,6618183,52945464,20000,,,,,0.003775794291868806,1000.0,378.0,362.0,6.0,1844.2741846694748,27.2891,0.0677342,5467.0,4527.0,6.0,81.0,15.0,1304.0,1062.0,2570.0,2531.0,3589.0,3586.0,0.18518518518518517,0.8144171779141104,0.9848249027237355,0.9991641125661744,67786.0,62698.0,9266.0,168.0,346.0,2324.0,290.0,57.0,119.0,175.0,148.0,99.0,106.0,400.0,1031.0,141.0,236.0,1002.0,566.0,2085.0,3128.0,707.0,670.1875,3287.875,5903.125,8556.75,9632.0,18.6875,69.91666666666667,112.75,651.625,707.0,2.0410120487213135,2.754000186920166,3.280829668045044
